Sex,isactive,Children,Educations,Age,Position,BirthPlace,InsuranceMonth,Marriage,Height,Unit,Horoscope,gender_retention_rate,education_retention_rate,age_group_retention_rate
Male,1,3,HighSchool,48,Doubling,Hamadan,219,Married,170,Production,Khordad,32.32405892,33.58633776,44.7761194
Male,1,0,HighSchool,31,Ring,Qom,0,Married,175,Production,Ordibehesht,32.32405892,33.58633776,33.28748281
Male,0,0,Diploma,35,Ring,Qom,47,Single,179,Production,Dey,32.32405892,36.96275072,36.50485437
Male,1,2,Diploma,33,Press,Qom,34,Single,180,Production,Dey,32.32405892,36.96275072,33.28748281
Male,1,1,Diploma,39,Doubling,Qom,0,Married,174,Production,Farvardin,32.32405892,36.96275072,36.50485437
Male,1,0,Diploma,32,Flyer,Lorestan,21,Married,174,Production,Esfand,32.32405892,36.96275072,33.28748281
Male,1,3,Diploma,39,Passage,Qom,43,Married,172,Production,Farvardin,32.32405892,36.96275072,36.50485437
Female,0,1,Elementary,33,Ring,Qom,5,Married,165,Production,Ordibehesht,38.27993255,17.67241379,33.28748281
Male,1,0,Diploma,36,Doubling,Lorestan,0,Married,173,Production,Shahrivar,32.32405892,36.96275072,36.50485437
Male,0,1,PostDiploma,35,Doubling,Qom,3,Single,173,Production,Dey,32.32405892,39.78494624,36.50485437
Male,1,1,HighSchool,32,Security,Qom,22,Married,177,Production,Aban,32.32405892,33.58633776,33.28748281
Male,1,1,HighSchool,38,Tray and Reserver,Qom,23,Married,171,Production,Ordibehesht,32.32405892,33.58633776,36.50485437
Male,1,0,HighSchool,32,Packing,Zanjan,1,Married,174,Production,Azar,32.32405892,33.58633776,33.28748281
Male,1,1,Diploma,32,Security,Qom,52,Married,177,Production,Esfand,32.32405892,36.96275072,33.28748281
Male,1,1,Diploma,38,Maintenance and Repairs,Tehran,54,Married,172,Production,Ordibehesht,32.32405892,36.96275072,36.50485437
Male,1,2,Diploma,37,Ring,West Azerbaijan,0,Married,176,Production,Tir,32.32405892,36.96275072,36.50485437
Female,1,2,HighSchool,41,Doubling,Hamadan,0,Married,144,Production,Dey,38.27993255,33.58633776,36.50485437
Male,1,2,HighSchool,39,Jet,Khuzestan,15,Single,173,Production,Shahrivar,32.32405892,33.58633776,36.50485437
Male,1,1,Diploma,37,Doubling,Lorestan,36,Single,172,Production,Esfand,32.32405892,36.96275072,36.50485437
Male,1,0,Diploma,32,Maintenance and Repairs,Qom,0,Single,151,Production,Mordad,32.32405892,36.96275072,33.28748281
Female,1,0,Diploma,47,Ring,Tehran,99,Single,167,Production,Shahrivar,38.27993255,36.96275072,44.7761194
Male,1,0,Diploma,31,Doubling,Qom,15,Single,180,Production,Dey,32.32405892,36.96275072,33.28748281
Male,1,1,PostDiploma,36,Flyer,East Azerbaijan,23,Married,135,Production,Mordad,32.32405892,39.78494624,36.50485437
Male,0,0,HighSchool,29,Maintenance and Repairs,Rosen,0,Single,174,Production,Ordibehesht,32.32405892,33.58633776,33.28748281
Male,1,2,PostDiploma,36,Jet,Lorestan,13,Single,177,Production,Khordad,32.32405892,39.78494624,36.50485437
Male,1,1,PostDiploma,34,Autoconer,Qom,0,Married,171,Production,Aban,32.32405892,39.78494624,33.28748281
Male,0,0,HighSchool,29,Autoconer,Qom,0,Single,173,Production,Ordibehesht,32.32405892,33.58633776,33.28748281
Male,0,1,Diploma,32,Packing,Zanjan,0,Married,172,Production,Khordad,32.32405892,36.96275072,33.28748281
Female,1,0,Bachelor,34,Laboratory,Qom,0,Single,162,Production,Tir,38.27993255,40.17094017,33.28748281
Male,1,0,Diploma,31,Carding,Zanjan,0,Single,176,Production,Mehr,32.32405892,36.96275072,33.28748281
Male,0,0,Bachelor,38,Passage,Qom,0,Single,178,Production,Azar,32.32405892,40.17094017,36.50485437
Male,1,0,Diploma,30,Jet,Khuzestan,15,Single,173,Production,Ordibehesht,32.32405892,36.96275072,33.28748281
Female,0,0,PostDiploma,38,Autoconer,Khorramabad,0,Single,160,Production,Shahrivar,38.27993255,39.78494624,36.50485437
Male,1,0,HighSchool,39,Warehouse,Qom,70,Married,171,Production,Aban,32.32405892,33.58633776,36.50485437
Male,1,0,Diploma,42,Maintenance and Repairs,Qom,86,Married,175,Production,Bahman,32.32405892,36.96275072,44.7761194
Female,1,1,Elementary,49,Doubling,Hamadan,12,Married,162,Production,Shahrivar,38.27993255,17.67241379,44.7761194
Female,1,0,Diploma,33,Indutrial Engineering,Lorestan,0,Single,161,Production,Ordibehesht,38.27993255,36.96275072,33.28748281
Female,1,0,Bachelor,45,Tray and Reserver,Qom,0,Single,162,Production,Mordad,38.27993255,40.17094017,44.7761194
Male,1,0,Diploma,28,Maintenance and Repairs,Shush,0,Single,176,Production,Ordibehesht,32.32405892,36.96275072,33.28748281
Male,0,0,Diploma,31,Maintenance and Repairs,Zanjan,0,Married,173,Production,Esfand,32.32405892,36.96275072,33.28748281
Female,0,2,PostDiploma,42,Doubling,Khorramabad,0,Married,160,Production,Khordad,38.27993255,39.78494624,44.7761194
Male,1,0,Diploma,30,Open End,Qom,29,Single,183,Production,Khordad,32.32405892,36.96275072,33.28748281
Female,0,0,Diploma,28,Autoconer,Khorramabad,0,Single,161,Production,Ordibehesht,38.27993255,36.96275072,33.28748281
Male,1,0,PostDiploma,29,Flyer,Qom,0,Single,177,Production,Mehr,32.32405892,39.78494624,33.28748281
Female,0,0,Elementary,45,Ring,Karaj,0,Married,161,Production,Azar,38.27993255,17.67241379,44.7761194
Male,1,0,Diploma,40,Passage,East Azerbaijan,101,Married,173,Production,Dey,32.32405892,36.96275072,36.50485437
Male,0,0,Elementary,32,Flyer,Qom,0,Married,171,Production,Azar,32.32405892,17.67241379,33.28748281
Male,1,0,PostDiploma,39,Maintenance and Repairs,Kerman,10,Married,175,Production,Tir,32.32405892,39.78494624,36.50485437
Male,1,0,Diploma,28,Open End,Qom,0,Married,179,Production,Mehr,32.32405892,36.96275072,33.28748281
Male,1,0,Diploma,27,Maintenance and Repairs,Khorramabad,0,Single,172,Production,Dey,32.32405892,36.96275072,33.28748281
Male,0,0,Bachelor,33,Maintenance and Repairs,Qom,0,Single,177,Production,Mehr,32.32405892,40.17094017,33.28748281
Male,1,0,HighSchool,34,Ring,Qom,17,Married,173,Production,Shahrivar,32.32405892,33.58633776,33.28748281
Male,0,0,HighSchool,29,Doubling,Qom,0,Single,176,Production,Tir,32.32405892,33.58633776,33.28748281
Female,0,0,Bachelor,40,Quality Control,Qom,0,Single,163,Production,Mordad,38.27993255,40.17094017,36.50485437
Male,1,0,Diploma,37,Ring,Central,54,Married,176,Production,Shahrivar,32.32405892,36.96275072,36.50485437
Female,0,0,Elementary,48,Autoconer,Khorramabad,0,Married,147,Production,Farvardin,38.27993255,17.67241379,44.7761194
Male,1,0,HighSchool,31,Tray and Reserver,Qom,0,Married,175,Production,Khordad,32.32405892,33.58633776,33.28748281
Male,0,0,PostDiploma,32,Passage,Qom,0,Single,165,Production,Dey,32.32405892,39.78494624,33.28748281
Female,0,0,Master,36,Doubling,Gonbadkavus,0,Single,164,Production,Mordad,38.27993255,48.38709677,36.50485437
Male,1,0,Bachelor,32,Ring,Central,0,Married,175,Production,Tir,32.32405892,40.17094017,33.28748281
Male,1,0,Diploma,30,Doubling,Tehran,6,Single,175,Production,Bahman,32.32405892,36.96275072,33.28748281
Male,1,0,Bachelor,32,Carding,Lorestan,0,Single,176,Production,Farvardin,32.32405892,40.17094017,33.28748281
Male,1,0,Diploma,32,Carding,Qom,10,Single,176,Production,Khordad,32.32405892,36.96275072,33.28748281
Male,1,0,Diploma,35,Ring,Central,20,Single,176,Production,Azar,32.32405892,36.96275072,36.50485437
Male,1,0,Diploma,29,Open End,Qom,0,Married,175,Production,Azar,32.32405892,36.96275072,33.28748281
Male,0,0,Diploma,31,Ring,Qom,0,Single,176,Production,Bahman,32.32405892,36.96275072,33.28748281
Male,0,0,Diploma,32,Jet,Oligodarz,0,Married,172,Production,Ordibehesht,32.32405892,36.96275072,33.28748281
Male,1,0,Diploma,40,Press,Qom,84,Single,170,Production,Mordad,32.32405892,36.96275072,36.50485437
Male,1,0,Bachelor,46,Office,Hamadan,218,Married,173,Electronic,Mehr,32.32405892,40.17094017,44.7761194
Male,1,0,PostDiploma,32,Electronic,Qom,25,Single,176,Production,Bahman,32.32405892,39.78494624,33.28748281
Female,1,0,Diploma,34,Ring,Kurdistan,0,Married,160,Production,Bahman,38.27993255,36.96275072,33.28748281
Male,1,0,Diploma,32,Warehouse,Qom,0,Married,177,Production,Tir,32.32405892,36.96275072,33.28748281
Male,1,0,Bachelor,35,Electronic,Qom,0,Married,172,Production,Mordad,32.32405892,40.17094017,36.50485437
Female,0,0,Diploma,31,Ring,Khorramabad,3,Married,165,Production,Mehr,38.27993255,36.96275072,33.28748281
Female,1,0,HighSchool,44,Autoconer,Fars,0,Married,163,Production,Esfand,38.27993255,33.58633776,44.7761194
Male,1,0,Diploma,33,Security,Qom,0,Single,176,Production,Ordibehesht,32.32405892,36.96275072,33.28748281
Male,1,0,Bachelor,32,Security,Zanjan,16,Married,177,Production,Azar,32.32405892,40.17094017,33.28748281
Female,0,0,HighSchool,41,Ring,Qom,0,Single,104,Production,Dey,38.27993255,33.58633776,36.50485437
Female,1,0,Diploma,24,Ring,Qom,0,Married,129,Production,Dey,38.27993255,36.96275072,28.90625
Male,1,0,Diploma,29,Warehouse,Qom,0,Married,175,Production,Tir,32.32405892,36.96275072,33.28748281
Female,1,0,Elementary,49,Autoconer,Qom,72,Married,162,Production,Shahrivar,38.27993255,17.67241379,44.7761194
Male,1,0,Diploma,26,Open End,Qom,0,Married,175,Production,Bahman,32.32405892,36.96275072,28.90625
Male,0,0,Diploma,29,Maintenance and Repairs,Qom,0,Single,175,Production,Bahman,32.32405892,36.96275072,33.28748281
Male,0,0,Diploma,26,Maintenance and Repairs,Qom,0,Single,178,Production,Esfand,32.32405892,36.96275072,28.90625
Male,0,0,Diploma,28,Doubling,Zanjan,0,Single,175,Production,Esfand,32.32405892,36.96275072,33.28748281
Male,0,0,Elementary,29,Open End,Qom,0,Single,176,Production,Mehr,32.32405892,17.67241379,33.28748281
Female,1,0,Diploma,27,Doubling,Khuzestan,0,Single,162,Production,Ordibehesht,38.27993255,36.96275072,33.28748281
Male,1,0,Diploma,38,Maintenance and Repairs,Hamadan,0,Married,174,Production,Tir,32.32405892,36.96275072,36.50485437
Female,1,0,Diploma,41,Autoconer,Lorestan,0,Single,161,Production,Shahrivar,38.27993255,36.96275072,36.50485437
Female,1,0,Diploma,39,Autoconer,Arak,17,Single,150,Production,Dey,38.27993255,36.96275072,36.50485437
Female,0,0,HighSchool,32,Autoconer,Khorramabad,7,Married,162,Production,Khordad,38.27993255,33.58633776,33.28748281
Female,0,0,Diploma,31,Doubling,Qom,0,Married,169,Production,Mehr,38.27993255,36.96275072,33.28748281
Female,1,0,HighSchool,28,Ring,Central,0,Married,164,Production,Esfand,38.27993255,33.58633776,33.28748281
Male,0,0,HighSchool,26,Flyer,Qom,0,Single,174,Production,Tir,32.32405892,33.58633776,28.90625
Female,1,0,Elementary,46,Maintenance and Repairs,Qom,0,Married,164,Production,Tir,38.27993255,17.67241379,44.7761194
Female,0,0,Diploma,24,Ring,Qom,0,Single,111,Production,Dey,38.27993255,36.96275072,28.90625
Female,0,1,HighSchool,31,Ring,Abik,0,Married,164,Production,Mehr,38.27993255,33.58633776,33.28748281
Female,0,0,Diploma,23,Ring,Qom,0,Single,162,Production,Shahrivar,38.27993255,36.96275072,28.90625
Male,1,0,Diploma,27,Maintenance and Repairs,West Azerbaijan,0,Single,174,Production,Mordad,32.32405892,36.96275072,33.28748281
Female,1,0,Diploma,25,Laboratory,Qom,0,Single,162,Production,Farvardin,38.27993255,36.96275072,28.90625
Male,1,0,Diploma,28,Autoconer,Qom,0,Single,177,Production,Tir,32.32405892,36.96275072,33.28748281
Male,1,0,Diploma,31,Open End,Khuzestan,4,Single,176,Production,Mehr,32.32405892,36.96275072,33.28748281
Male,1,0,Bachelor,35,Flyer,Lorestan,0,Single,171,Production,Dey,32.32405892,40.17094017,36.50485437
Male,1,0,Diploma,27,Carding,Qom,9,Single,177,Production,Azar,32.32405892,36.96275072,33.28748281
Male,1,0,Diploma,32,Maintenance and Repairs,Central,1,Married,174,Production,Shahrivar,32.32405892,36.96275072,33.28748281
Male,1,0,Bachelor,32,Electronic,Qom,0,Married,177,Industrial Engineering,Ordibehesht,32.32405892,40.17094017,33.28748281
Male,1,0,HighSchool,28,Carding,Qom,0,Married,176,Production,Ordibehesht,32.32405892,33.58633776,33.28748281
Female,0,0,Bachelor,39,Ring,Land,0,Married,160,Production,Tir,38.27993255,40.17094017,36.50485437
Male,0,0,Elementary,27,Maintenance and Repairs,Mahns,0,Single,171,Production,Mordad,32.32405892,17.67241379,33.28748281
Female,1,0,Diploma,50,Doubling,Guilan,97,Married,162,Production,Shahrivar,38.27993255,36.96275072,33.33333333
Male,1,0,PostDiploma,28,Flyer,Qom,0,Single,178,Production,Esfand,32.32405892,39.78494624,33.28748281
Male,1,0,Diploma,26,Flyer,Qom,0,Single,177,Production,Shahrivar,32.32405892,36.96275072,28.90625
Female,1,1,HighSchool,33,Autoconer,Hamadan,0,Married,160,Production,Aban,38.27993255,33.58633776,33.28748281
Male,1,0,Diploma,29,Maintenance and Repairs,Hamadan,18,Married,176,Production,Tir,32.32405892,36.96275072,33.28748281
Male,1,0,Diploma,32,Jet,Borujen,43,Married,178,Production,Khordad,32.32405892,36.96275072,33.28748281
Male,1,0,Elementary,29,Open End,Qom,0,Single,159,Production,Dey,32.32405892,17.67241379,33.28748281
Male,1,0,Master,40,Electronic,Qom,136,Married,171,Electronic,Tir,32.32405892,48.38709677,36.50485437
Male,0,0,HighSchool,28,Press,Zanjan,9,Married,172,Production,Shahrivar,32.32405892,33.58633776,33.28748281
Male,0,0,HighSchool,31,Autoconer,Qom,18,Single,177,Production,Dey,32.32405892,33.58633776,33.28748281
Male,1,0,HighSchool,39,Warehouse,Guilan,142,Married,173,Production,Esfand,32.32405892,33.58633776,36.50485437
Male,0,0,Elementary,30,HR and Training,Ilam,0,Single,174,Production,Khordad,32.32405892,17.67241379,33.28748281
Female,0,0,Diploma,34,Ring,Arak,0,Married,153,Production,Tir,38.27993255,36.96275072,33.28748281
Male,1,0,HighSchool,25,Ring,Qom,0,Single,170,Production,Bahman,32.32405892,33.58633776,28.90625
Male,1,0,PostDiploma,39,Maintenance and Repairs,Central,12,Married,176,Production,Farvardin,32.32405892,39.78494624,36.50485437
Male,1,0,Bachelor,27,Indutrial Engineering,Zanjan,4,Single,182,Technical,Farvardin,32.32405892,40.17094017,33.28748281
Male,1,0,Bachelor,27,Indutrial Engineering,Zanjan,0,Single,179,Production,Farvardin,32.32405892,40.17094017,33.28748281
Male,1,0,HighSchool,27,Carding,Qom,1,Single,179,Production,Mehr,32.32405892,33.58633776,33.28748281
Male,0,0,Diploma,26,Maintenance and Repairs,Qom,0,Single,176,Production,Khordad,32.32405892,36.96275072,28.90625
Male,0,0,Elementary,25,Open End,Qom,0,Single,175,Production,Shahrivar,32.32405892,17.67241379,28.90625
Male,0,0,HighSchool,25,Maintenance and Repairs,Qom,0,Single,177,Production,Khordad,32.32405892,33.58633776,28.90625
Female,0,0,Bachelor,33,Laboratory,Poldokhtar,0,Single,162,Production,Esfand,38.27993255,40.17094017,33.28748281
Male,1,0,HighSchool,37,Passage,Qom,76,Married,171,Production,Shahrivar,32.32405892,33.58633776,36.50485437
Female,1,0,Bachelor,27,HR and Training,Qom,0,Single,163,HR and Office,Esfand,38.27993255,40.17094017,33.28748281
Male,1,0,Diploma,27,Open End,Qom,0,Married,174,Production,Mordad,32.32405892,36.96275072,33.28748281
Male,0,0,Diploma,25,Flyer,Qom,0,Single,177,Production,Farvardin,32.32405892,36.96275072,28.90625
Male,0,0,HighSchool,32,Jet,Zanjan,35,Single,174,Production,Azar,32.32405892,33.58633776,33.28748281
Female,0,0,HighSchool,25,Ring,Qom,0,Single,163,Production,Mordad,38.27993255,33.58633776,28.90625
Male,1,0,Diploma,25,Ring,Qom,0,Married,177,Production,Farvardin,32.32405892,36.96275072,28.90625
Male,0,0,Bachelor,30,Electronic,Andimeshk,0,Single,170,Production,Mordad,32.32405892,40.17094017,33.28748281
Female,0,0,Diploma,36,Ring,Ahwaz,0,Married,161,Production,Esfand,38.27993255,36.96275072,36.50485437
Male,1,0,HighSchool,32,Autoconer,Qom,8,Married,169,Production,Shahrivar,32.32405892,33.58633776,33.28748281
Female,0,0,Diploma,36,Autoconer,Qom,0,Married,161,Production,Farvardin,38.27993255,36.96275072,36.50485437
Male,1,0,Diploma,25,Ring,Falcon Fortress,0,Married,177,Production,Azar,32.32405892,36.96275072,28.90625
Male,1,0,HighSchool,26,Ring,Qom,11,Married,185,Production,Aban,32.32405892,33.58633776,28.90625
Female,0,0,PostDiploma,31,Doubling,Rosen,0,Married,163,Production,Tir,38.27993255,39.78494624,33.28748281
Female,0,0,Elementary,53,Packing,Hamadan,8,Married,166,Production,Mordad,38.27993255,17.67241379,33.33333333
Male,1,0,Diploma,30,Maintenance and Repairs,Qom,0,Single,176,Production,Shahrivar,32.32405892,36.96275072,33.28748281
Female,0,0,HighSchool,28,Ring,Qom,0,Married,161,Production,Farvardin,38.27993255,33.58633776,33.28748281
Male,1,0,Elementary,28,Autoconer,Zanjan,1,Single,174,Production,Tir,32.32405892,17.67241379,33.28748281
Male,1,0,PostDiploma,30,Open End,Lorestan,0,Married,176,Production,Ordibehesht,32.32405892,39.78494624,33.28748281
Female,1,0,Diploma,29,Doubling,Qom,0,Married,162,Production,Azar,38.27993255,36.96275072,33.28748281
Female,0,0,Diploma,41,Doubling,Qom,0,Married,164,Production,Shahrivar,38.27993255,36.96275072,36.50485437
Male,0,0,Diploma,33,Security,Qom,37,Single,180,Production,Tir,32.32405892,36.96275072,33.28748281
Male,1,0,Diploma,40,Ring,Qom,101,Single,176,Production,Khordad,32.32405892,36.96275072,36.50485437
Female,0,0,PostDiploma,25,Ring,Qom,0,Single,163,Production,Ordibehesht,38.27993255,39.78494624,28.90625
Male,1,0,HighSchool,28,Autoconer,Qom,0,Single,176,Production,Khordad,32.32405892,33.58633776,33.28748281
Male,1,0,Elementary,29,Maintenance and Repairs,Lorestan,0,Married,175,Production,Farvardin,32.32405892,17.67241379,33.28748281
Male,1,0,Diploma,33,Press,Qom,61,Married,178,Production,Dey,32.32405892,36.96275072,33.28748281
Male,1,0,Diploma,36,Autoconer,Qom,33,Married,160,Production,Mordad,32.32405892,36.96275072,36.50485437
Female,0,0,Elementary,36,Maintenance and Repairs,Takab,0,Married,165,Production,Ordibehesht,38.27993255,17.67241379,36.50485437
Male,1,0,Diploma,25,Passage,Qom,0,Single,179,Production,Farvardin,32.32405892,36.96275072,28.90625
Male,1,1,HighSchool,32,Passage,Qom,0,Married,157,Production,Dey,32.32405892,33.58633776,33.28748281
Female,1,0,Bachelor,40,Laboratory,Central,0,Single,156,Production,Dey,38.27993255,40.17094017,36.50485437
Male,0,0,Diploma,26,Maintenance and Repairs,Qom,0,Single,177,Production,Tir,32.32405892,36.96275072,28.90625
Female,1,1,HighSchool,29,Packing,Qom,0,Married,163,Production,Tir,38.27993255,33.58633776,33.28748281
Female,1,1,HighSchool,29,Packing,Qom,4,Married,163,Industrial Engineering,Tir,38.27993255,33.58633776,33.28748281
Female,1,0,Elementary,36,Autoconer,Zanjan,0,Married,159,Production,Farvardin,38.27993255,17.67241379,36.50485437
Male,1,0,Diploma,31,Packing,Lorestan,5,Single,171,Production,Khordad,32.32405892,36.96275072,33.28748281
Male,0,0,Elementary,24,Packing,Qom,0,Single,174,Production,Bahman,32.32405892,17.67241379,28.90625
Male,1,0,Diploma,30,Open End,Qom,37,Single,180,Production,Khordad,32.32405892,36.96275072,33.28748281
Male,0,0,Bachelor,32,Business,Qom,20,Married,174,Production,Shahrivar,32.32405892,40.17094017,33.28748281
Male,1,0,Elementary,49,Warehouse,Qom,161,Married,174,Production,Shahrivar,32.32405892,17.67241379,44.7761194
Male,1,0,HighSchool,27,Maintenance and Repairs,Qom,1,Married,174,Production,Aban,32.32405892,33.58633776,33.28748281
Male,1,0,Elementary,29,Ring,Qom,0,Single,177,Production,Mehr,32.32405892,17.67241379,33.28748281
Male,0,0,PostDiploma,36,Press,Central,78,Single,178,Production,Dey,32.32405892,39.78494624,36.50485437
Male,1,0,Elementary,35,Open End,Qom,81,Single,172,Production,Ordibehesht,32.32405892,17.67241379,36.50485437
Male,0,0,PostDiploma,32,Maintenance and Repairs,Jajar,0,Married,123,Production,Mordad,32.32405892,39.78494624,33.28748281
Male,0,0,Diploma,30,Press,Qom,36,Married,178,Production,Khordad,32.32405892,36.96275072,33.28748281
Male,1,0,PostDiploma,39,Ring,Isfahan,119,Married,173,Production,Shahrivar,32.32405892,39.78494624,36.50485437
Male,1,0,Diploma,25,Passage,Qom,2,Single,180,Production,Esfand,32.32405892,36.96275072,28.90625
Male,0,0,Diploma,27,Flyer,Qom,12,Single,187,Production,Dey,32.32405892,36.96275072,33.28748281
Male,0,0,Elementary,27,Jet,Qom,0,Single,176,Production,Farvardin,32.32405892,17.67241379,33.28748281
Male,1,0,HighSchool,30,Packing,Qom,23,Married,169,Production,Mehr,32.32405892,33.58633776,33.28748281
Male,1,0,Bachelor,44,Electronic,Qom,24,Married,170,Electronic,Mordad,32.32405892,40.17094017,44.7761194
Male,1,0,PostDiploma,28,Tray and Reserver,Qom,2,Single,168,Production,Dey,32.32405892,39.78494624,33.28748281
Male,1,0,HighSchool,32,Autoconer,Qom,0,Single,176,Production,Shahrivar,32.32405892,33.58633776,33.28748281
Male,1,0,HighSchool,33,Autoconer,Tehran,0,Married,172,Production,Shahrivar,32.32405892,33.58633776,33.28748281
Male,0,0,Diploma,33,Flyer,Shush,5,Married,173,Production,Farvardin,32.32405892,36.96275072,33.28748281
Male,1,0,HighSchool,37,Warehouse,Lorestan,4,Married,176,Production,Mehr,32.32405892,33.58633776,36.50485437
